Space,Folder,List,Task Name,Responsable,Naturaleza Contractual,Recurrencia,Plataforma / Tag,Clausula Contractual
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Plan de Acción y Planificación Mensual,Construir el Plan de Acción de Marketing y Growth (estructura inicial),Prestadora,ON,Puntual (≤15 días corridos desde inicio),General / ClickUp,C5.a
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Plan de Acción y Planificación Mensual,"Mantener y actualizar el Plan de Acción (objetivo, acción, canal, responsable, prioridad, horas, plazo, estado, KPI)",Prestadora,GR,Continuo,ClickUp,C5.b / C5.c
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Plan de Acción y Planificación Mensual,Proveer y mantener la cuenta ClickUp (suscripción exclusiva Grupo Alcázar),Cliente,ON,Puntual (inicio) / recurrente (suscripción),ClickUp,C5.d
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Plan de Acción y Planificación Mensual,"Definir el Plan Mensual (objetivos, prioridades, distribución de la Capacidad Mensual)",Compartido,GR,Mensual (primeros 3 días hábiles),General,C6.a
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Plan de Acción y Planificación Mensual,Proponer distribución de respaldo si no hay acuerdo de Plan Mensual a tiempo,Prestadora,GR,Mensual (contingente),General,C6.c
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Elaborar el Reporte Mensual (8 secciones mínimas),Prestadora,GR,Mensual (primeros 5 días hábiles),General,C14.a
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Realizar la reunión de seguimiento mensual (≥45 minutos),Compartido,GR,Mensual,Google Meet,C14.b
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Redactar y enviar la minuta de la reunión mensual,Prestadora,GR,Mensual (≤2 días hábiles post-reunión),General,C14.b
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Registrar la bitácora/trazabilidad de horas por proyecto,Prestadora,GR,Mensual (junto al Reporte),ClickUp,C7.c
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Construir y mantener el Dashboard automático multiplataforma,Prestadora,OMP,Continuo (desde el mes 2),Dashboard,C8.a.iv
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,"Realizar la Revisión Trimestral (resultados, KPIs, redistribución)",Compartido,GR,Trimestral,General,C15.a / C15.b
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Actualizar el Plan de Acción tras la Revisión Trimestral,Prestadora,GR,Trimestral,General / ClickUp,C15.c
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Reportabilidad y Reuniones,Reportar trimestralmente el estado de indexación y hallazgos técnicos SEO,Prestadora,GR,Trimestral,Search Console,C12.c
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),"Implementar y validar Pixel de Meta + API de Conversiones (conversión real, no solo vistas)",Prestadora,ON,Puntual (fase inicial),Meta Pixel / CAPI,C4.c.i
