ID,Nombre de la tarea,Descripcion ejecutiva,Area / Lista ClickUp,Clasificacion,Importancia,Impacto,Urgencia,Esfuerzo,Estado sugerido,Responsable principal,Participantes,Tipo de responsable,Tiempo estimado,Dependencias,Tareas bloqueadas,Documento fuente,Pagina o seccion de referencia,Hallazgo asociado,Coincidencias entre documentos,Criterio de aceptacion,Evidencia de finalizacion,Riesgo de no ejecucion,Etiquetas,Hito o fase,Fecha sugerida,Observaciones
TASK-001,Activar destino Click-to-WhatsApp (CTWA) en las campanas activas de Meta,Configurar CTWA para que cada clic en el anuncio quede enlazado a la conversacion de WhatsApp via ctwa_clid,Meta Ads,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Especialista Meta Ads,,Prestador,30 min,,TASK-002,DOC-08,Seccion 1,Pixel solo mide PageView; embudo 100% conversacional necesita CTWA no evento Lead tradicional,DOC-03;DOC-16,CTWA visible como activo en Ads Manager sobre las campanas en curso,Captura de configuracion CTWA en Ads Manager,Meta sigue optimizando a ciegas por volumen de conversacion,Meta Ads;tracking;CTWA,Inmediata,,Precondicion tecnica de TASK-002
TASK-002,Conectar Conversions API (CAPI) de mensajeria enlazada por ctwa_clid,Implementar el reenvio server-side de eventos de mensajeria a Meta usando el mismo identificador que CTWA,Meta Ads,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista Meta Ads,Responsable tecnico,Ambos,2-4 horas,TASK-001,TASK-004,DOC-08,Seccion 1,CAPI se empezo a configurar en abril 2026 y nunca se completo,DOC-08;DOC-16,Eventos de negocio visibles en el diagnostico de eventos de Meta con match quality > 6,Captura del Event Manager mostrando eventos recibidos via CAPI,Sin CAPI ninguna campana nueva puede optimizar por calidad de lead en 2026,Meta Ads;tracking;CAPI,Inmediata,,Requiere acceso a Meta Business Suite / WhatsApp Business API
TASK-003,Definir que conversacion de WhatsApp cuenta como lead calificado,Reunion con el equipo de atencion para fijar el criterio de calificacion que se reenviara a Meta,Meta Ads,Recomendacion estrategica,Alta,Alto,Alta,Bajo,Por hacer,Responsable comercial,Especialista Meta Ads,Cliente,1 hora,,TASK-004,DOC-08,Seccion 1 (T3),Sin esta definicion no hay evento de negocio que reenviar,DOC-08,Criterio de calificacion documentado y aprobado por ambas partes,Documento de criterio firmado/aprobado,CAPI queda sin poder distinguir volumen de calidad,Meta Ads;CRM;definicion,Inmediata,,Insumo obligatorio para TASK-004
TASK-004,Reenviar a Meta el evento de lead calificado via CAPI,Implementar el envio del evento de negocio real usando el mismo ctwa_clid del clic original,Meta Ads,Correccion tecnica,Alta,Alto,Alta,Medio,Bloqueada,Especialista Meta Ads,,Prestador,2-3 horas,TASK-002;TASK-003,,DOC-08,Seccion 1 (T4),Habilita optimizacion por calidad de lead y el objetivo Leads,DOC-08,Evento de negocio visible y usado como senal de optimizacion en la campana piloto,Reporte de Ads Manager mostrando el evento como senal activa,Meta sigue sin poder priorizar leads de calidad sobre volumen,Meta Ads;CAPI;CRM,Corto plazo,,Depende de TASK-002 y TASK-003
TASK-005,Solicitar upgrade del developer token de Google Ads a Basic o Standard,Gestionar en el Centro de API de Google Ads el upgrade que hoy bloquea auditar y administrar la cuenta,Gobernanza y accesos,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Responsable de accesos,Especialista Google Ads,Cliente,1-3 dias habiles (aprobacion de Google),,TASK-006;TASK-020,DOC-12,Pagina 2,Bloquea auditar y gestionar Google Ads el canal de mayor volumen del sitio,DOC-12,Token en estado Basic o Standard confirmado en el Centro de API,Captura del estado del token en el Centro de API de Google Ads,Google Ads sigue sin poder auditarse ni corregirse desde el lado tecnico interno,Google Ads;gobernanza;accesos,Inmediata,,Marcado P0-Urgente en DOC-12
TASK-006,Corregir el objetivo de conversion Cliente potencial cualificado en Google Ads,Diagnosticar y resolver el estado Configuracion erronea que mantiene el objetivo en 0 conversiones,Google Ads,Correccion tecnica,Alta,Alto,Alta,Medio,Bloqueada,Especialista Google Ads,,Prestador,2-4 horas,TASK-005,TASK-007,DOC-16,Seccion 5,Objetivo ya existe pero esta roto; impide optimizar por calidad real de lead,DOC-16,El objetivo registra conversiones reales en un periodo de prueba de 7 dias,Captura de Google Ads mostrando conversiones registradas,Google Ads sigue optimizando solo por formularios llenados sin filtrar calidad,Google Ads;conversiones;tracking,Corto plazo,,Requiere TASK-005 resuelta primero
TASK-007,Marcar form_submit_fiscalizacion_tributaria_cit como conversion en GA4,Activar el evento como clave/conversion en la propiedad principal de GA4,GA4,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Especialista GA4/GTM,,Prestador,15 min,,TASK-008,DOC-05,Tarea G1,19 eventos en 30 dias sin marcar como conversion mientras los otros 2 servicios si lo estan,DOC-04;DOC-05,El evento aparece marcado como conversion en GA4 y se contabiliza en el reporte de eventos,Captura de configuracion de eventos clave en GA4,19 conversiones reales por mes siguen sin contarse ni reportarse,GA4;conversiones;quick-win,Inmediata,,Cambio de configuracion no de codigo
TASK-008,Importar form_submit_fiscalizacion_tributaria_cit como conversion en Google Ads,Replicar en Google Ads la misma conversion ya marcada en GA4 para los otros 2 servicios,Google Ads,Correccion tecnica,Alta,Alto,Alta,Bajo,Bloqueada,Especialista Google Ads,,Prestador,15 min,TASK-007,,DOC-05,Tarea G2,Depende de que el evento ya este marcado como conversion en GA4,DOC-05,La conversion aparece importada y activa en la columna de conversiones de Google Ads,Captura de la conversion importada en Google Ads,Google Ads sigue sin ver las 19 conversiones reales del tercer servicio,Google Ads;GA4;conversiones,Inmediata,,Depende de TASK-007
TASK-009,Instalar GTM y tag de configuracion GA4 en diagnostico.defensordelcontribuyente.cl,Instrumentar desde cero el subdominio que aloja el formulario de mayor intencion del ecosistema,GA4,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista GA4/GTM,,Prestador,1-2 horas,,,DOC-05,Tarea G3,No existe ninguna propiedad GA4 asociada a este subdominio,DOC-04;DOC-05;DOC-09,GA4 registra al menos page_view y form_submit en el subdominio,Captura del informe de tiempo real de GA4 mostrando eventos del subdominio,El punto de conversion de mayor intencion sigue sin ninguna visibilidad,GA4;GTM;tracking,Corto plazo,,Formulario con carga de documentos tributarios
TASK-010,Definir la fuente de verdad para medir tasa de cierre de leads a clientes,Reunion de definicion entre Cliente-Estudio y Prestador sobre que sistema y criterio se usara hacia adelante para medir cierre real,CRM y atribucion,Recomendacion estrategica,Alta,Alto,Alta,Bajo,Por hacer,Direccion o gerencia,Analista de datos,Ambos,1 reunion,,TASK-011,DOC-16,Seccion 3,Tasa de cierre real es 2.3% y no se puede medir de forma confiable hoy en Pipedrive,DOC-16,Documento de criterio de medicion de cierre aprobado por ambas partes,Documento firmado con el criterio de medicion,Se sigue sin poder saber si el marketing realmente esta moviendo el resultado comercial,CRM;Pipedrive;medicion,Corto plazo,,Hallazgo de mayor impacto de todo el corpus
TASK-011,Conectar Pipedrive con las senales de conversion de Meta y Google Ads hacia adelante,Integrar el flujo para que los leads calificados en Pipedrive retroalimenten CAPI y el objetivo de conversion de Google Ads,CRM y atribucion,Correccion tecnica,Alta,Alto,Media,Alto,Bloqueada,Especialista GA4/GTM,Analista de datos,Ambos,1-2 dias,TASK-004;TASK-006;TASK-010,,DOC-16,Seccion 12,Sin esta conexion ninguna plataforma puede optimizar por calidad real de lead,DOC-08;DOC-16,Un lead marcado ganado en Pipedrive genera una senal de conversion en al menos una plataforma de pauta,Reporte mostrando el flujo Pipedrive -> plataforma de pauta activo,El circuito de medicion queda incompleto aun despues de arreglar Meta y Google por separado,CRM;Pipedrive;integracion,Mediano plazo,,Depende de TASK-004 TASK-006 y TASK-010
TASK-012,Refrescar o pausar el anuncio Video 22 y activar 2-3 creativos del banco de 70,Reemplazar el creativo con fatiga confirmada por piezas ya producidas y sin usar,Creatividades,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Especialista Meta Ads,Responsable de contenidos,Ambos,30 min de publicacion,,,DOC-03;DOC-08,Los dos hallazgos que mas cuestan / Seccion 5,CTR cayo 40.72% confirmado en vivo; Meta diagnostica This ad is not spurring interest,DOC-03;DOC-08,Al menos 2 creativos nuevos activos y Video 22 pausado o con frecuencia reducida,Captura de Ads Manager mostrando los creativos activos,16 meses sin refrescar equivale a 60-90 ciclos de fatiga del algoritmo 2026,Meta Ads;creatividades;fatiga,Inmediata,,Cliente-Estudio aprueba el creativo seleccionado
TASK-013,Decidir si servicios.defensordelcontribuyente.cl se consolida o permanece separado,Definicion de arquitectura de dominios antes de seguir invirtiendo en instrumentacion separada,Gobernanza y accesos,Recomendacion estrategica,Alta,Alto,Media,Bajo,Por hacer,Direccion o gerencia,Especialista SEO,Cliente,1 reunion,,TASK-014,DOC-05;DOC-16,Tarea G8 / Seccion 4,12 sesiones/30d y cero eventos personalizados; posible causa de la fragmentacion de indexacion,DOC-04;DOC-05;DOC-16,Decision documentada sobre consolidar o mantener separado,Documento de decision de arquitectura,Se sigue invirtiendo esfuerzo tecnico en una propiedad que podria discontinuarse,GA4;dominios;arquitectura,Corto plazo,,Definir antes de invertir en instrumentacion adicional
TASK-014,Resolver la duplicidad de Google Tag Manager en el dominio principal,Consolidar GTM-N7BQZZW y GTM-MQC692WV en un unico contenedor y migrar el tag de conversion de Google Ads,SEO tecnico,Correccion tecnica,Alta,Alto,Alta,Medio,Bloqueada,Especialista GA4/GTM,,Prestador,1-2 horas,TASK-013,,DOC-01;DOC-03;DOC-09;DOC-13,Alcance SEO P1 / SL1,Confirmado duplicado en 8 de 14 URL del dominio principal,DOC-01;DOC-03;DOC-05;DOC-09;DOC-13,Un solo contenedor GTM visible en el codigo fuente sin eventos duplicados,Captura del Asistente de Etiquetas de Google sin duplicados,Medicion de campanas y conversiones sigue siendo potencialmente inexacta,GTM;tracking;SEO,Corto plazo,,SL1 en DOC-13 ya senala que no debe duplicarse contra G3/G9 de DOC-05
TASK-015,Actualizar oferta y condiciones CAE vigentes en copy y creativos pausados,Insumo legal y comercial obligatorio antes de relanzar cualquier campana con angulo CAE,Meta Ads,Recomendacion estrategica,Alta,Alto,Media,Alto,Por hacer,Responsable legal o de cumplimiento,,Cliente,A definir por equipo legal,,TASK-012,DOC-06,Lista Ajuste CAE,Oferta y creativos citan condiciones vigentes hasta abril de 2026 hoy desactualizadas,DOC-03;DOC-06;DOC-16,Copy y creativos aprobados con condiciones CAE vigentes a la fecha de relanzamiento,Documento de oferta actualizada aprobado,Las 3 campanas mas eficientes en costo por resultado siguen sin poder reactivarse,Meta Ads;CAE;compliance,Mediano plazo,,Bloqueante para relanzar como campana nueva no reactivacion
TASK-016,Investigar el 57% de abandono de formulario en el dominio principal,Analizar la caida de 141 form_start a 61 form_submit en 30 dias y proponer ajuste de UX,CRO,Recomendacion estrategica,Media,Alto,Media,Medio,Por hacer,Responsable comercial,Especialista GA4/GTM,Ambos,1-2 horas de analisis mas ajustes,,,DOC-04;DOC-05;DOC-13,Tarea G10 / SL6,57% de abandono confirmado con datos reales de GA4,DOC-04;DOC-05;DOC-13,"Informe de causa probable (largo, campos, friccion UX) con recomendacion de ajuste",Informe de analisis entregado y revisado en conjunto,Se sigue invirtiendo en trafico hacia un formulario con friccion no diagnosticada,CRO;GA4;landing,Corto plazo,,SL6 en DOC-13 ya enlaza con G10 de DOC-05 no crear tarea duplicada
TASK-017,Aplicar la recomendacion mixed_formats en el ad set activo de Meta,Agregar variante de imagen junto al video existente en el conjunto de anuncios activo,Meta Ads,Correccion tecnica,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,,Prestador,20 min,,,DOC-03;DOC-08,Seccion 4,Recomendacion directa y en vivo de Meta con mejora estimada de +4 puntos de Opportunity Score,DOC-03;DOC-08,Ad set con al menos una variante de imagen ademas del video activa,Captura de Ads Manager mostrando la variante activa,Se deja pasar una mejora gratuita ya senalada por la propia plataforma,Meta Ads;formatos;quick-win,Corto plazo,,Accion directa sin produccion nueva
TASK-018,Corregir la moneda de la propiedad GA4 de servicios a CLP,Cambiar la configuracion de moneda de USD a CLP para alinear con el dominio principal,GA4,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Especialista GA4/GTM,,Prestador,15 min,,,DOC-05,Tarea G6,Propiedad quedo en USD por defecto mientras el dominio principal esta en CLP,DOC-04;DOC-05,Configuracion de la propiedad muestra CLP como moneda activa,Captura de configuracion de la propiedad GA4,Reportes de valor economico en esa propiedad quedan distorsionados,GA4;configuracion,Corto plazo,,
TASK-019,Definir categoria de industria en la propiedad GA4 de servicios,Completar el campo de categoria de industria hoy sin especificar,GA4,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Especialista GA4/GTM,,Prestador,15 min,,,DOC-05,Tarea G7,Dominio principal tiene OTHER; servicios esta en INDUSTRY_CATEGORY_UNSPECIFIED,DOC-04;DOC-05,Categoria de industria visible y consistente con el dominio principal,Captura de configuracion de la propiedad GA4,Configuracion inconsistente entre propiedades de la misma cuenta,GA4;configuracion,Corto plazo,,
TASK-020,Negativizar palabras clave cruzadas entre campanas propias de Google Ads,Aplicar exclusiones para evitar que la cuenta compita contra si misma en subasta,Google Ads,Correccion tecnica,Media,Medio,Media,Bajo,Bloqueada,Especialista Google Ads,,Prestador,1-2 horas,TASK-005,,DOC-16,Seccion 5 y 12,Abogado tributario aparece en dos campanas con CPC de $352 vs $1.236-$1.618,DOC-16,CPC de la keyword compartida se estabiliza en una sola campana sin competencia interna,Reporte de subastas de Google Ads mostrando la correccion,Se sigue pagando de mas por competir contra la propia cuenta,Google Ads;keywords;eficiencia,Mediano plazo,,Depende de TASK-005
TASK-021,Reactivar las 3 audiencias lookalike como semilla de Advantage+ Audience,Activar las audiencias ya construidas excluyendo expresamente el naming CAE,Meta Ads,Correccion tecnica,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,,Prestador,15 min,,,DOC-03;DOC-07,Tarea T13,Audiencias ya construidas e inactivas; Advantage+ 2026 las acepta como sugerencia de partida,DOC-03;DOC-07;DOC-08,Al menos una lookalike activa como semilla en una campana piloto,Captura de Ads Manager mostrando la audiencia activa,Insumo ya disponible se mantiene sin costo de aprovecharlo,Meta Ads;audiencias;Advantage+,Mediano plazo,,Excluye expresamente la audiencia/lookalike de naming CAE
TASK-022,Combinar y minificar las hojas de estilo CSS de Elementor,Reducir de 37-51 hojas de estilo cargadas por separado por pagina a menos de 10,SEO tecnico,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Desarrollador web,,Prestador,3-5 horas,,,DOC-01;DOC-09;DOC-13,Alcance SEO P2 / SL3,37-51 hojas de estilo confirmadas en todo el sitio no solo en la home,DOC-01;DOC-09;DOC-13,Menos de 10 peticiones de hojas de estilo en la home medido con herramientas de red,Reporte de PageSpeed Insights con el conteo de peticiones reducido,Rendimiento de carga sigue penalizando campanas pagadas hacia esas paginas,SEO;rendimiento;CSS,Mediano plazo,,
TASK-023,Reducir JavaScript no utilizado y optimizar el elemento LCP de la home,Atacar los ~294 KiB de JS no usado estimados por Lighthouse y bajar el LCP de 12.4s a menos de 2.5s,SEO tecnico,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Desarrollador web,,Prestador,5-9 horas combinadas,,,DOC-13,SL4 y SL5,Lighthouse 19-08 confirma JS no usado y LCP muy por sobre el objetivo,DOC-09;DOC-13,LCP de la home bajo 2.5s en una medicion de Lighthouse posterior al cambio,Reporte Lighthouse posterior a la implementacion,Rendimiento movil sigue clasificado como necesita mejora en Search Console,SEO;rendimiento;Core Web Vitals,Mediano plazo,,Consistente con el hallazgo agregado de DOC-16 sobre Core Web Vitals movil
TASK-024,Optimizar metadata de las paginas mejor posicionadas para capturar mas CTR,Reescribir title y meta description de las paginas con posicion promedio buena y CTR bajo,SEO de contenidos,Recomendacion estrategica,Media,Medio,Media,Medio,Por hacer,Especialista SEO,Redactor o equipo de contenidos,Prestador,2-3 horas,,,DOC-16,Seccion 8,Posicion promedio 7.7 con CTR de solo 1.4-1.6% en los ultimos 3 meses,DOC-16,CTR de las paginas ajustadas mejora medido en Search Console a 30 dias,Reporte de Search Console comparando CTR antes/despues,Se sigue perdiendo trafico de impresiones ya ganadas sin costo adicional,SEO;metadata;CTR,Mediano plazo,,
TASK-025,Producir contenido sobre Convenios y Condonaciones y sobre la Ley 21.713,Cubrir el gap de contenido identificado frente a la novedad normativa de mayor volumen de busqueda actual,Contenido,Recomendacion estrategica,Media,Medio,Media,Alto,Por hacer,Redactor o equipo de contenidos,Responsable legal o de cumplimiento,Ambos,Por definir segun calendario editorial,,,DOC-16,Seccion 8 y 11,Cero articulos sobre Convenios y Condonaciones pese a ser servicio core con condonaciones de hasta 80% vigentes,DOC-16,Al menos 2 articulos publicados y indexados sobre estos temas,URLs publicadas e indexadas verificables en Search Console,Un competidor sigue dominando en solitario el terreno long-tail de este tema,Contenido;SEO;normativa,Mediano plazo,,Usar el glosario de palabras clave de DOC-16 como brief editorial
TASK-026,Crear checklist formal de compliance de copy para angulos de miedo y urgencia,Documentar la regla de tercera persona/estadistico como paso de aprobacion obligatorio antes de publicar,Cumplimiento de politicas,Recomendacion estrategica,Media,Medio,Media,Medio,Por hacer,Responsable legal o de cumplimiento,Especialista Meta Ads,Cliente,2 horas,,TASK-012,DOC-07;DOC-08,Tarea T15 / Seccion 7,Politica de Privacidad y Atributos Personales es el motivo de rechazo mas comun en la categoria,DOC-07;DOC-08,Checklist documentado y aplicado como paso previo a publicar cualquier pieza nueva o reactivada,Checklist firmado e incorporado al flujo de aprobacion,Riesgo de rechazo de anuncios en la categoria financiera/legal,Compliance;copy;Meta Ads,Mediano plazo,,Ya es criterio de aceptacion obligatorio marcado con candado en DOC-07
TASK-027,Ajustar imagen Open Graph a 1200x630 y completar etiquetas Twitter Card,Reemplazar la imagen cuadrada actual por el formato horizontal y completar twitter:title/description/image,SEO de contenidos,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Especialista SEO,,Prestador,1 hora combinada,,,DOC-01;DOC-13;DOC-14,Alcance SEO P5 / SL16-18,Persiste sin resolver desde la auditoria de mayo (DOC-14) hasta agosto (DOC-01),DOC-01;DOC-13;DOC-14,Preview correcto al compartir el link en redes sociales y WhatsApp,Captura del preview social despues del cambio,El preview social sigue en blanco o con datos incorrectos al compartir,SEO;social;metadata,Largo plazo,,Confirmar en plataforma si sigue vigente 3 meses despues
TASK-028,Resolver la respuesta 404 de favicon.ico,Subir el icono del sitio desde WordPress para que se genere correctamente en la raiz del dominio,SEO tecnico,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,15 min,,,DOC-01;DOC-14,Alcance SEO P6,Persiste sin resolver desde mayo (DOC-14) hasta agosto (DOC-01),DOC-01;DOC-13;DOC-14,curl -sI al dominio devuelve 200 para favicon.ico,Captura del resultado del comando curl,Icono generico o ausente en resultados de busqueda reduce CTR,SEO;tecnico;quick-win,Largo plazo,,
TASK-029,Corregir nomenclatura de campanas de Meta Ads,Estandarizar fechas y convencion de nombres en las campanas historicas y activas,Meta Ads,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Especialista Meta Ads,,Prestador,15 min,,,DOC-03,Checklist priorizado,Fechas inconsistentes dificultan la trazabilidad interna,DOC-03,Nomenclatura consistente visible en Ads Manager,Captura de Ads Manager con nomenclatura corregida,Dificulta la trazabilidad interna de campanas,Meta Ads;orden;gobernanza,Largo plazo,,
TASK-030,Revisar compliance del creativo que cita a un tercero por su usuario de red social,Confirmar autorizacion de uso antes de reactivar ese creativo especifico del banco de 70,Cumplimiento de politicas,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Responsable legal o de cumplimiento,,Cliente,A definir con equipo legal,,,DOC-03,Banco creativo,Un creativo cita a un tercero por su usuario @rfantuzzih sin autorizacion confirmada,DOC-03,Autorizacion de uso confirmada por escrito o el creativo se descarta,Documento de autorizacion o registro de descarte,Riesgo legal si se reactiva sin autorizacion confirmada,Compliance;creativo;legal,Largo plazo,,Bloquea solo la reactivacion de este creativo especifico no el resto del banco
TASK-031,Implementar schema FAQPage y Review/AggregateRating,Agregar datos estructurados en las paginas de FAQ y casos de exito para habilitar rich snippets,SEO tecnico,Correccion tecnica,Baja,Bajo,Baja,Medio,Por hacer,Especialista SEO,,Prestador,3-4 horas,,,DOC-09,Hallazgos transversales,Ninguna de las 3 paginas FAQ usa schema FAQPage; casos de exito sin Review/AggregateRating,DOC-09,Validacion sin errores en el Rich Results Test de Google,Captura del Rich Results Test aprobado,Se pierde la oportunidad de acordeon expandible y estrellas de valoracion en SERP,SEO;schema;rich-snippets,Largo plazo,,
TASK-032,Construir un perfil de enlaces externos mas solido,Iniciar una estrategia de backlinks fuera del unico dominio que hoy concentra la mayoria de los enlaces,SEO de contenidos,Recomendacion estrategica,Baja,Bajo,Baja,Alto,Por hacer,Especialista SEO,,Prestador,Continuo,,,DOC-16,Seccion 8,Solo 8 enlaces externos en total y 6 del mismo dominio aguilayca.cl,DOC-16,Al menos 3 dominios nuevos con enlace entrante en un trimestre,Reporte de Search Console mostrando nuevos dominios enlazantes,Autoridad de dominio se mantiene practicamente plana frente a la competencia,SEO;backlinks;autoridad,Largo plazo,,
TASK-033,Instalar Meta Pixel en la totalidad del sitio y configurar el evento Lead,"Instalar el Meta Pixel base en todas las paginas del dominio principal y configurar el evento Lead disparado al enviar el formulario de consulta o el de WhatsApp, dado que el listado de 21 plugins de WordPress no incluye ningun plugin dedicado de Meta Pixel.",Meta Ads,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista GA4/GTM,Especialista Meta Ads,Prestador,2-4 horas,,TASK-046,DOC-02;DOC-06,Alcance Landing P1 / SL2,"Meta Pixel confirmado ausente en las 14 URL de campana (DOC-09); sin plugin dedicado, probablemente se debe inyectar via GTM o Code Snippets Pro",DOC-02;DOC-06;DOC-13(SL2),Evento visible en el Administrador de Eventos de Meta al probar el formulario en al menos 3 paginas distintas,Captura del Administrador de Eventos de Meta mostrando el evento Lead activo,Sin Pixel no se puede optimizar por conversion ni armar publicos de remarketing en Meta Ads,Meta Ads;tracking;Pixel,Inmediata,,Fusiona SL2 (Alcance Landing) con el punto equivalente del Plan de ajustes post-CAE
TASK-034,Investigar la tasa de rebote de 72% en trafico Direct,Analizar por que el trafico Direct rebota casi el doble que Paid Search (72% vs 45%) y proponer un mensaje de bienvenida o contexto especifico para ese segmento.,CRO,Recomendacion estrategica,Media,Medio,Media,Medio,Por hacer,Responsable comercial,Especialista GA4/GTM,Ambos,1-2 horas,,,DOC-02,Datos reales de conversion via GA4,"Trafico Direct con 72.1% de rebote vs 45.4% de Paid Search, dato real GA4 30 dias",DOC-02;DOC-13(SL7),Informe con hipotesis de causa y propuesta de mensaje diferenciado para trafico directo,Documento de analisis entregado,Se sigue perdiendo una porcion significativa de trafico directo sin diagnostico,CRO;GA4;landing,Corto plazo,,
TASK-035,Disenar y probar un formulario corto para trafico frio de Meta,"Crear una version simplificada del formulario principal (nombre + telefono, sin RUT en el primer contacto) especifica para trafico frio proveniente de Meta Ads, y correr un test A/B de al menos 2 semanas.",CRO,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Desarrollador web,Responsable comercial,Prestador,1 dia + 2 semanas de test,,,DOC-02;DOC-06,Alcance Landing P2 / SL8,Formulario principal tiene 100-102 elementos; el subdominio servicios. ya usa uno mas corto (48-77) pero sin datos suficientes para concluir si eso mejora conversion,DOC-02;DOC-06;DOC-13(SL8),Reporte de test A/B con al menos 2 semanas de datos comparando formulario largo vs corto,Reporte de resultados del test A/B,Se sigue exponiendo a trafico frio de Meta a un formulario largo sin validar si eso reduce conversion,CRO;landing;formularios,Corto plazo,,Fusiona SL8 con el punto de simplificar formulario del Plan de ajustes post-CAE
TASK-036,Variar el texto del CTA entre las distintas secciones de la landing,"Reemplazar el CTA generico repetido en toda la pagina por textos especificos segun la seccion (ej. distinto en hero, testimonios y footer) en lugar de repetir el mismo texto.",CRO,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,1-2 horas,,,DOC-02;DOC-06,Alcance Landing P2 / SL9,CTA repetido sin variacion identificado en la auditoria de landing,DOC-02;DOC-06;DOC-13(SL9),Al menos 3 variantes de texto de CTA visibles en distintas secciones de la home,Captura de la home mostrando los CTA diferenciados,Un CTA generico repetido reduce la relevancia percibida en cada seccion,CRO;landing;copy,Corto plazo,,Fusiona SL9 con el punto de unificar/variar CTA del Plan de ajustes post-CAE
TASK-037,Reforzar la propuesta de valor especifica desde el primer bloque visible,Ajustar el hero de la home para que la propuesta de valor (deuda con el SII/Tesoreria) quede explicita sin necesidad de hacer scroll.,CRO,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Redactor o equipo de contenidos,Desarrollador web,Prestador,2-3 horas,,,DOC-02,Alcance Landing P2,Propuesta de valor no reforzada explicitamente en el primer bloque visible,DOC-02;DOC-13(SL10),La propuesta de valor central es legible sin scroll en una pantalla estandar de escritorio y movil,Captura de la home sin hacer scroll en desktop y movil,Se pierde la primera impresion mas critica para reducir el rebote,CRO;landing;copy,Corto plazo,,
TASK-038,Incorporar prueba social numerica en la home,"Agregar cifras de prueba social (casos resueltos, anos de operacion) en la home, complementando los 5 testimonios en video ya existentes.",CRO,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Redactor o equipo de contenidos,Desarrollador web,Prestador,2-3 horas,,,DOC-02,Alcance Landing P3,"5 testimonios en video reales existen, pero sin cifras agregadas de prueba social numerica",DOC-02;DOC-13(SL11),Cifra de prueba social visible en la home sin necesidad de scroll adicional,Captura de la home mostrando la cifra,Se desaprovecha una senal de confianza de bajo costo de implementacion,CRO;landing;copy,Corto plazo,,
