ID,Nombre de la tarea,Descripcion ejecutiva,Area / Lista ClickUp,Clasificacion,Importancia,Impacto,Urgencia,Esfuerzo,Estado sugerido,Responsable principal,Participantes,Tipo de responsable,Tiempo estimado,Dependencias,Tareas bloqueadas,Documento fuente,Pagina o seccion de referencia,Hallazgo asociado,Coincidencias entre documentos,Criterio de aceptacion,Evidencia de finalizacion,Riesgo de no ejecucion,Etiquetas,Hito o fase,Fecha sugerida,Observaciones
WP-01,Confirmar y documentar el mecanismo de respaldo real vigente,"Verificar con el hosting o la agencia entrante cual es el sistema de backup que realmente esta operando hoy, dado que las dos herramientas de respaldo instaladas en WordPress (All-in-One WP Migration y Duplicator Pro) estan inactivas.",Desarrollo web,Validacion en plataforma,Alta,Alto,Alta,Bajo,Por hacer,Responsable tecnico,Agencia de marketing,Cliente,1-2 horas,,WP-12;WP-13,DOC-19,Seccion 3 - Copias de seguridad,WPR-1,,"Existe un backup verificado y fechado en las ultimas 72 horas, con responsable y frecuencia documentados","Captura o confirmacion escrita del mecanismo de backup vigente (hosting, plugin o servicio externo)",Actualizar WordPress/Elementor sin backup confirmado puede dejar el sitio sin forma de recuperacion ante un fallo,WordPress;backup;seguridad,Inmediata,,Precondicion de WP-12 y WP-13
WP-02,Renovar la licencia de Code Snippets Pro o migrar snippets criticos,El plugin que ejecuta codigo personalizado en todo el sitio no puede actualizar a la version 3.8.0 (parche de seguridad) porque su licencia esta vencida.,Desarrollo web,Correccion tecnica,Alta,Alto,Media,Bajo,Por hacer,Responsable tecnico,,Cliente,30 min,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-2,,"Code Snippets Pro actualizado a 3.8.0 o superior, con licencia activa visible en el panel",Captura del panel de plugins mostrando la version actualizada y la licencia activa,Un plugin que ejecuta PHP arbitrario sin parches de seguridad es el componente de mayor riesgo relativo del sitio,WordPress;seguridad;codigo personalizado,Inmediata,,
WP-03,Identificar el drop-in no reconocido en el listado de plugins,El panel de WordPress reporta 1 drop-in activo sin nombre visible en la transcripcion disponible; hay que confirmar que archivo es y su funcion.,Desarrollo web,Validacion en plataforma,Media,Medio,Media,Bajo,Por hacer,Desarrollador web,,Prestador,15 min,,,DOC-19,Seccion 1 - Inventario de plugins,WPR-informativo (drop-in),,El drop-in queda identificado por nombre de archivo y funcion en la documentacion del sitio,Nombre del archivo drop-in confirmado desde wp-content o el panel de Salud del sitio,"Bajo, pero deja un componente sin trazabilidad en el sitio",WordPress;plugins,Corto plazo,,
WP-04,Corregir el titulo Yoast SEO incorrecto en el post id=9097,"El campo yoast_title del post ""Cumplimiento tributario y contabilidad"" contiene el titulo de otro post distinto (id=9075); hay que reescribirlo con el titulo propio del contenido.",SEO de contenidos,Correccion tecnica,Alta,Medio,Alta,Bajo,Por hacer,Especialista SEO,,Prestador,10 min,,,DOC-19,"Seccion 4 - Contenido del blog, Bug de SEO en produccion",WPR-7,,"El titulo Yoast del post id=9097 corresponde a su propio contenido, verificable en la vista previa de Google del editor",Captura del snippet de Yoast SEO mostrando el titulo correcto,Google sigue mostrando un titulo equivocado en resultados de busqueda para esa URL,WordPress;SEO;Yoast,Inmediata,,Quick win
WP-05,Consolidar los 3 posts publicados sobre Auditoria Tributaria del SII,"Los posts id 1913, 9505 y 9019 compiten por el mismo foco tematico; definir cual queda como pilar, actualizar su contenido y redirigir 301 los otros dos.",SEO de contenidos,Correccion tecnica,Alta,Alto,Media,Medio,Por hacer,Especialista SEO,Redactor o equipo de contenidos,Prestador,4-6 horas,,,DOC-19,Seccion 4 - Canibalizacion SEO confirmada,WPR-3,"DOC-01 (categoria Contenido, 60/100)","Un solo post activo sobre el tema, los otros dos con redireccion 301 hacia el pilar",Reporte de Search Console mostrando una sola URL indexada para las consultas del tema,Los 3 posts siguen canibalizandose el posicionamiento entre si,WordPress;SEO;contenido;canibalizacion,Corto plazo,,
WP-06,Consolidar los 4 posts publicados sobre Prescripcion Tributaria,"Los posts id 1302, 7745, 8302 y 9042 compiten por el mismo foco tematico, incluyendo la pagina de mayor trafico historico del sitio; definir el pilar, actualizar contenido y redirigir 301 los demas.",SEO de contenidos,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista SEO,Redactor o equipo de contenidos,Prestador,4-6 horas,,,DOC-19,Seccion 4 - Canibalizacion SEO confirmada,WPR-3,DOC-01 (pagina de mayor trafico historico mencionada en linea base 17-08-2026),"Un solo post activo sobre el tema, los otros tres con redireccion 301 hacia el pilar",Reporte de Search Console mostrando consolidacion de clics/impresiones en una sola URL,La pagina de mayor trafico real del sitio sigue compitiendo contra si misma,WordPress;SEO;contenido;canibalizacion,Inmediata,,Mayor impacto de trafico de las dos tareas de canibalizacion
WP-07,Purgar los posts duplicados en papelera y el borrador de prueba,Eliminar definitivamente los posts id 9452 y 9668 (papelera) y decidir si publicar o eliminar el borrador de prueba id 9383.,Contenido,Documentacion,Media,Bajo,Baja,Bajo,Por hacer,Redactor o equipo de contenidos,,Prestador,15 min,WP-05;WP-06,,DOC-19,Seccion 4 - Contenido duplicado sin purgar,WPR-8,,Los 3 posts quedan eliminados permanentemente o resueltos (publicados con proposito claro),"Confirmacion de que los IDs 9452, 9668 y 9383 ya no aparecen en el listado de entradas","Bajo, es limpieza operativa",WordPress;contenido;limpieza,Corto plazo,,Ejecutar despues de WP-05/WP-06 para no perder contenido que podria reutilizarse en la consolidacion
WP-08,Revisar y resolver los 13 problemas detectados por Wordfence,"El escaneo mas reciente de Wordfence reporta 13 problemas sin detalle en la transcripcion disponible; hay que entrar al panel, revisar cada uno y resolverlo o descartarlo con evidencia.",Gobernanza y accesos,Validacion en plataforma,Alta,Alto,Alta,Medio,Bloqueada,Responsable tecnico,Desarrollador web,Cliente,1-2 horas,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-5,,Los 13 problemas quedan documentados uno por uno con su resolucion o justificacion de por que no aplica,Captura del panel de Wordfence mostrando 0 problemas pendientes o cada uno documentado,No se puede descartar ni confirmar la naturaleza de los problemas sin este paso,WordPress;seguridad;Wordfence,Inmediata,,Bloqueada porque requiere acceso directo al panel; no resoluble solo con el documento
WP-09,Evaluar el solapamiento entre Wordfence e Imunify Security,Ambos plugins de seguridad estan activos simultaneamente y declaran funciones de firewall y escaneo de malware; confirmar si Imunify opera a nivel de hosting (lo que reduciria la redundancia real) o si hay duplicacion efectiva de funciones.,Gobernanza y accesos,Validacion en plataforma,Media,Medio,Baja,Bajo,Por hacer,Desarrollador web,Responsable tecnico,Ambos,30 min,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-6,,"Queda documentado si Imunify es capa de hosting o plugin independiente, y si corresponde desactivar uno de los dos",Nota tecnica confirmando el alcance real de cada herramienta,Posible consumo de recursos duplicado sin beneficio de seguridad adicional,WordPress;seguridad,Corto plazo,,
WP-10,Ubicar y consolidar los contenedores GTM inyectados en el sitio,"No existe plugin dedicado de Google Tag Manager en el listado de 21 plugins, por lo que los dos contenedores GTM duplicados (GTM-N7BQZZW y GTM-MQC692WV) probablemente estan inyectados via Code Snippets Pro o directo en el tema; ubicarlos y dejar uno solo.",GTM,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista GA4/GTM,Desarrollador web,Prestador,1-2 horas,WP-01,WP-11,DOC-19,"Correlacion, seccion 4 - GTM duplicado",WPR-informativo (GTM),DOC-01 (Prioridad 1);DOC-02 (Prioridad 1),"Un solo contenedor GTM visible en el codigo fuente, sin eventos duplicados en el Asistente de Etiquetas",Captura del Asistente de Etiquetas de Google mostrando un solo contenedor activo,Conversiones duplicadas o infladas en cualquier reporte de campanas,WordPress;GTM;tracking,Inmediata,,Ejecutar con respaldo confirmado (WP-01) antes de tocar snippets de codigo
